CLUSTER_ID,TRAJECTORY_ID,EASTINGS_M,NORTHINGS_M,ALTITUDE_M
1,0,-54155.49757,4645661.443,0
1,0,-54152.4509,4645641.12,0
1,0,-54146.91879,4645615.356,0
1,0,-54148.20159,4645592.034,0
1,0,-54161.02968,4645568.713,0
1,0,-54162.23231,4645566.159,0
1,0,-54140.82545,4645566.159,0
1,0,-54107.23191,4645566.159,0
1,0,-54088.87172,4645566.159,0
1,0,-54044.7752,4645567.491,0
1,0,-54019.76044,4645567.491,0
1,0,-53999.55622,4645567.491,0
1,0,-53974.46129,4645566.159,0
1,0,-53946.96109,4645566.159,0
1,0,-53924.27142,4645566.159,0
1,0,-53877.20841,4645571.267,0
1,0,-53853.31611,4645587.814,0
1,0,-53829.50398,4645607.249,0
1,0,-53789.73693,4645638.233,0
1,0,-53757.34603,4645664.442,0
1,0,-53729.20443,4645686.874,0
1,0,-53683.90527,4645722.523,0
1,0,-53636.84226,4645760.614,0
1,0,-53606.85662,4645777.161,0
1,0,-53562.76009,4645778.05,0
1,0,-53528.52516,4645779.271,0
1,0,-53470.39792,4645779.716,0
1,0,-53428.2256,4645779.271,0
1,0,-53317.50324,4645779.716,0
1,0,-53267.31338,4645779.271,0
1,0,-53220.25036,4645779.716,0
1,0,-53166.4526,4645779.716,0
1,0,-53113.77729,4645779.716,0
1,0,-53006.18177,4645780.493,0
1,0,-52944.36646,4645780.493,0
1,0,-52886.88063,4645780.493,0
1,0,-52787.14231,4645780.937,0
1,0,-52711.93769,4645780.937,0
1,0,-52650.76378,4645780.937,0
1,0,-52593.27795,4645780.937,0
1,0,-52543.08809,4645780.937,0
1,0,-52494.18103,4645780.937,0
1,0,-52445.27398,4645780.493,0
1,0,-52409.11482,4645780.937,0
1,0,-52378.56796,4645785.602,0
1,0,-52359.00514,4645801.26,0
1,0,-52335.75424,4645828.024,0
1,0,-52315.55002,4645850.901,0
1,0,-52292.94052,4645877.554,0
1,0,-52270.33103,4645904.207,0
1,0,-52243.95329,4645934.303,0
1,0,-52184.0622,4646006.71,0
1,0,-52153.43515,4646042.803,0
1,0,-52107.57477,4646099.995,0
1,0,-52078.87194,4646150.414,0
1,0,-52063.55842,4646181.287,0
1,0,-52048.8863,4646214.381,0
1,0,-52026.83804,4646262.689,0
1,0,-52004.78978,4646315.551,0
1,0,-52028.68208,4646332.542,0
1,0,-52051.29157,4646327.434,0
1,0,-52095.94932,4646329.988,0
1,0,-52193.2022,4646328.767,0
1,0,-52966.41473,4646329.988,525
1,0,-53437.36561,4646324.436,525
1,0,-53913.92878,4646324.436,675
1,0,-55086.49547,4646332.542,1350
1,0,-56047.47901,4646357.974,1950
1,0,-56623.05893,4646383.405,2250
1,0,-57133.85704,4646398.62,2450
1,0,-57672.71658,4646402.395,2600
1,0,-58230.5777,4646428.271,2800
1,0,-58815.3778,4646571.42,3025
1,0,-59346.94137,4646851.942,3175
1,0,-59844.26999,4647306.93,3325
1,0,-60256.53241,4647893.184,3525
1,0,-60566.00984,4648573.612,3825
1,0,-60737.34489,4649265.812,4100
1,0,-59891.33301,4652585.438,4900
1,0,-59183.62387,4653505.52,5075
1,0,-57959.66469,4655040.842,5525
1,0,-56868.39596,4656088.081,6125
1,0,-55562.41724,4656703.209,6650
1,0,-54722.57888,4656860.795,7100
1,0,-53422.13227,4656845.136,7625
1,0,-52234.17188,4656576.052,8075
1,0,-50907.42771,4656142.275,8650
1,0,-49683.46853,4655749.144,9175
1,0,-47800.06586,4655218.75,9825
1,0,-45993.15061,4654796.856,10450
1,0,-44121.93462,4654394.73,11175
1,0,-42273.40829,4654017.368,11875
1,0,-40312.95696,4653647.892,12625
1,0,-34712.29741,4652631.192,13950
1,0,-28491.40019,4651527.982,14975
1,0,-21716.97132,4650326.155,16825
1,0,-14721.65894,4649049.368,18675
1,0,-1455.900889,4646607.068,21875
1,0,13208.75929,4644701.492,24700
1,0,28107.05087,4643500.999,27050
1,0,44522.42327,4642255.417,29225
1,0,61470.48169,4640906.555,31025
1,0,79270.7255,4639408.659,33500
1,0,97002.41925,4637863.231,35725
1,0,113908.3054,4636317.804,37025
1,0,131450.9453,4634676.981,37000
1,0,148386.2558,4633043.932,37000
1,0,166074.4944,4631295.942,37000
1,0,182563.2274,4629627.689,37000
1,0,200170.0879,4627802.627,37000
1,0,217356.1874,4626064.077,37000
1,0,236382.7956,4624988.852,37000
1,0,254214.1476,4624352.957,37000
1,0,277377.09,4623618.779,37000
1,0,296185.9416,4622988.436,37000
1,0,313322.4125,4622332.663,37000
1,0,330314.5674,4621628.58,37000
1,0,349749.269,4620765.135,37000
1,0,368523.2442,4619865.82,37000
1,0,387998.8353,4618888.434,37000
1,0,406109.7591,4617920.043,37000
1,0,424487.4269,4616888.018,37000
1,0,442895.0001,4615810.35,37000
1,0,460211.946,4614742.344,37000
1,0,478438.483,4613578.609,37000
1,0,495589.7061,4612439.861,37000
1,0,512836.3381,4611240.145,37000
1,0,530978.4502,4609933.594,37000
1,0,548304.6163,4608632.153,37000
1,0,566383.0691,4607235.871,37000
1,0,583558.1845,4605851.472,37000
1,0,601467.8679,4604376.785,37000
1,0,619524.9138,4602825.805,37000
1,0,636733.6228,4601306.698,37000
1,0,653944.737,4599745.945,37000
1,0,672077.0678,4598048.04,37000
1,0,689248.4951,4596395.89,37000
1,0,707219.3524,4594616.138,37000
1,0,724371.7782,4592872.924,37000
1,0,742093.0491,4591027.539,37000
1,0,759280.9124,4589188.041,37000
1,0,776410.7287,4587306.342,37000
1,0,794314.3187,4585300.374,37000
1,0,811839.2399,4583280.079,37000
1,0,829750.1259,4580972.044,37000
1,0,846672.5281,4577514.378,35950
1,0,863528.3046,4574097.246,34775
1,0,879952.817,4570855.58,32800
1,0,895873.9074,4567717.749,30725
1,0,911243.7913,4564636.556,28750
1,0,926247.9947,4561586.458,26850
1,0,940146.1771,4558706.494,25000
1,0,954524.6107,4555346.222,23100
1,0,967404.9652,4549677.138,23000
1,0,979918.2761,4543771.175,23000
1,0,992595.6262,4538275.779,22175
1,0,994510.2171,4537771.261,21900
1,0,995853.4775,4537494.958,21700
1,0,1009499.027,4535544.628,20675
1,0,1022714.034,4533622.949,20125
1,0,1035926.555,4531549.682,19600
1,0,1048608.716,4529357.809,19000
1,0,1049748.331,4528971.453,18975
1,0,1051481.244,4528152.985,18975
1,0,1052537.636,4527471.779,19000
1,0,1053994.024,4526271.175,19000
1,0,1054813.097,4525407.841,19000
1,0,1055811.362,4524030.105,19000
1,0,1056330.659,4523086.701,19000
1,0,1056804.737,4522103.429,19000
1,0,1057259.813,4521101.944,18900
1,0,1057925.35,4519617.485,18725
1,0,1062296.518,4510198.329,17300
1,0,1064288.799,4505793.817,16575
1,0,1067181.451,4499393.441,15775
1,0,1069146.232,4494870.323,14700
1,0,1071189.905,4489896.436,13350
1,0,1072991.93,4485109.232,12350
1,0,1074656.293,4480534.473,11325
1,0,1075219.125,4478889.874,11075
1,0,1075752.452,4477326.678,10850
1,0,1076462.005,4475862.542,10600
1,0,1077240.75,4475017.866,10425
1,0,1077876.301,4474531.893,10300
1,0,1078399.847,4474174.744,10175
1,0,1079082.542,4473725.308,9950
1,0,1079716.249,4473300.416,9725
1,0,1080983.663,4472461.625,9300
1,0,1082197.28,4471648.154,9000
1,0,1083376.581,4470850.898,8725
1,0,1084526.538,4470077.406,8425
1,0,1085647.151,4469314.799,8075
1,0,1086743.311,4468577.622,7825
1,0,1087890.863,4467847.331,7550
1,0,1088486.647,4467604.123,7425
1,0,1089152.183,4467500.843,7300
1,0,1089762.64,4467555.814,7175
1,0,1090403.723,4467743.94,7050
1,0,1091013.538,4467986.704,6925
1,0,1091619.103,4468255.677,6800
1,0,1092194.683,4468511.545,6675
1,0,1092772.187,4468770.856,6525
1,0,1093926.394,4469279.261,6250
1,0,1095130.871,4469797.772,5975
1,0,1096246.593,4470280.746,5750
1,0,1097389.815,4470789.04,5475
1,0,1097905.424,4471135.196,5300
1,0,1098345.908,4471607.508,5150
1,0,1098688.418,4472136.237,5050
1,0,1099126.417,4472929.273,4900
1,0,1099402.862,4473458.001,4825
1,0,1099676.902,4473986.729,4700
1,0,1100097.182,4474785.208,4525
1,0,1100362.643,4475307.161,4400
1,0,1100888.033,4476403.153,4150
1,0,1101365.157,4477443.507,3975
1,0,1101573.774,4478011.215,3850
1,0,1101653.869,4478584.809,3725
1,0,1101593.978,4479138.08,3650
1,0,1101277.124,4479898.911,3475
1,0,1100998.194,4480381.885,3375
1,0,1100713.09,4480854.642,3250
1,0,1100440.333,4481296.97,3150
1,0,1100151.621,4481764.618,3025
1,0,1099587.025,4482679.259,2775
1,0,1099172.918,4483355.8,2575
1,0,1098615.057,4484240.345,2350
1,0,1098326.345,4484702.996,2200
1,0,1098035.789,4485155.874,2075
1,0,1097763.513,4485541.787,1975
1,0,1097419.801,4485915.928,1850
1,0,1097029.507,4486263.638,1700
